IDS_TEXTCLIENT_INC_000001	Navigator
IDS_TEXTCLIENT_INC_000967	The attribute has not been applied to the selected item. Please finish the attribute refining first.
IDS_TEXTCLIENT_INC_000968	Inappropriate item. Please use the premium item for attribute strengthening.
IDS_TEXTCLIENT_INC_000969	Attribute Strengthening
IDS_TEXTCLIENT_INC_000970	You can only trade or unequip the item after removing its elemental attributes. Will you remove them?
IDS_TEXTCLIENT_INC_000971	You used the face-change function once.
IDS_TEXTCLIENT_INC_000972	You used the face-change function twice.
IDS_TEXTCLIENT_INC_000973	You can only use the face-change function twice.
IDS_TEXTCLIENT_INC_000974	Change Face %d
IDS_TEXTCLIENT_INC_000975	You cannot fly here.
IDS_TEXTCLIENT_INC_000976	You need %s item to open it.
IDS_TEXTCLIENT_INC_000977	Wrong level, unable to open itembox.
IDS_TEXTCLIENT_INC_000978	Wrong sex, uanble to open itembox.
IDS_TEXTCLIENT_INC_000979	You need to be on the %s quest to open it.
IDS_TEXTCLIENT_INC_000980	Wrong job, unable to open itembox.
IDS_TEXTCLIENT_INC_000981	Charge attribute has already been applied.
IDS_TEXTCLIENT_INC_000982	Price : %s
IDS_TEXTCLIENT_INC_000983	Selling Price : %s
IDS_TEXTCLIENT_INC_000984	Premium item cannot be refined.
IDS_TEXTCLIENT_INC_000985	You are not finished with the skill redistribution yet.
IDS_TEXTCLIENT_INC_000986	FP recovery rate decreased.
IDS_TEXTCLIENT_INC_000987	This item cannot be used.
IDS_TEXTCLIENT_INC_000988	Walk
IDS_TEXTCLIENT_INC_000989	Run
IDS_TEXTCLIENT_INC_000990	GM HELP
IDS_TEXTCLIENT_INC_000991	%s Guild Cloak
IDS_TEXTCLIENT_INC_000992	%s skill cannot be registered in the action slot.
IDS_TEXTCLIENT_INC_000993	Your character is being checked at the moment. Please log in after a while.
IDS_TEXTCLIENT_INC_000994	Please wait a while before using the item again.
IDS_TEXTCLIENT_INC_000995	Motion
IDS_TEXTCLIENT_INC_000996	Emoticon
IDS_TEXTCLIENT_INC_000997	Changes will be applied after you restart Flyff.
IDS_TEXTCLIENT_INC_000998	Blaster
IDS_TEXTCLIENT_INC_000999	Eraser
IDS_TEXTCLIENT_INC_001000	Champion
IDS_TEXTCLIENT_INC_001001	Warrior
IDS_TEXTCLIENT_INC_001002	Bearcat
IDS_TEXTCLIENT_INC_001003	Sorcerer
IDS_TEXTCLIENT_INC_001004	Warlock
IDS_TEXTCLIENT_INC_001005	Sage
IDS_TEXTCLIENT_INC_001006	Arch Sage
IDS_TEXTCLIENT_INC_001007	Elder
IDS_TEXTCLIENT_INC_001008	Crusader
IDS_TEXTCLIENT_INC_001009	Chaplain
IDS_TEXTCLIENT_INC_001010	Luminary
IDS_TEXTCLIENT_INC_001011	Prophet
IDS_TEXTCLIENT_INC_001012	Oracle
IDS_TEXTCLIENT_INC_001013	Rogue
IDS_TEXTCLIENT_INC_001014	Outlaw
IDS_TEXTCLIENT_INC_001015	Vigilante
IDS_TEXTCLIENT_INC_001016	Pathfinder
IDS_TEXTCLIENT_INC_001017	Pursuer
IDS_TEXTCLIENT_INC_001018	Hejerdor
IDS_TEXTCLIENT_INC_001019	Phoenix
IDS_TEXTCLIENT_INC_001020	Splitter
IDS_TEXTCLIENT_INC_001021	Valcan
IDS_TEXTCLIENT_INC_001022	Lamia
IDS_TEXTCLIENT_INC_001023	You died as a criminal. You can atone for your sins by going through certain ordeals. Do you want to atone for your sins?
IDS_TEXTCLIENT_INC_001024	Only criminals can wear this item.
IDS_TEXTCLIENT_INC_001025	Only people with good status can wear this item.
IDS_TEXTCLIENT_INC_001026	[Hangame] Delete Character
IDS_TEXTCLIENT_INC_001027	Do you really want to delete it?
IDS_TEXTCLIENT_INC_001028	The trial has just started. Your abilities are weakened for a certain period.
IDS_TEXTCLIENT_INC_001029	Put Bounty
IDS_TEXTCLIENT_INC_001030	See the Bounty List
IDS_TEXTCLIENT_INC_001031	You have never been killed by other character.
IDS_TEXTCLIENT_INC_001032	Do you want to check your position?
IDS_TEXTCLIENT_INC_001033	(consuming %d Penya)
IDS_TEXTCLIENT_INC_001034	You have overcome all trials.
IDS_TEXTCLIENT_INC_001035	%d Karma has been recovered.
IDS_TEXTCLIENT_INC_001036	You cannot quit during combat.
IDS_TEXTCLIENT_INC_001037	Logging out in %d sec(s).
IDS_TEXTCLIENT_INC_001038	Melee Block
IDS_TEXTCLIENT_INC_001039	Ranged Block
IDS_TEXTCLIENT_INC_001040	Do you want to delete it?
IDS_TEXTCLIENT_INC_001041	How many items do you want to delete?
IDS_TEXTCLIENT_INC_001042	How much Penya do you want to delete?
IDS_TEXTCLIENT_INC_001043	You are not in Dark Illusion mode.
IDS_TEXTCLIENT_INC_001044	Yes
IDS_TEXTCLIENT_INC_001045	No
IDS_TEXTCLIENT_INC_001046	Cancel
IDS_TEXTCLIENT_INC_001047	Time Left: #b%d minutes#nb
IDS_TEXTCLIENT_INC_001048	#bYou exceeded the time limit#nb
IDS_TEXTCLIENT_INC_001049	Defeat %s #b(%d/%d)#nb
IDS_TEXTCLIENT_INC_001050	%s Search
IDS_TEXTCLIENT_INC_001051	%s number #b(%d/%d)#nb
IDS_TEXTCLIENT_INC_001052	Karma Point #b(%d %s %d)#nb
IDS_TEXTCLIENT_INC_001053	%s Skill Level #b(%d/%d)#nb
IDS_TEXTCLIENT_INC_001054	Chat with %s
IDS_TEXTCLIENT_INC_001055	#bMeet %s#nb
IDS_TEXTCLIENT_INC_001056	Item: %s(%d)
IDS_TEXTCLIENT_INC_001057	Item: ????
IDS_TEXTCLIENT_INC_001058	Penya: %d
IDS_TEXTCLIENT_INC_001059	Penya: %d~%d
IDS_TEXTCLIENT_INC_001060	Penya: ????
IDS_TEXTCLIENT_INC_001061	Experience Gained.
IDS_TEXTCLIENT_INC_001062	Collected Karma Point : %d
IDS_TEXTCLIENT_INC_001063	Collected Karma Point : ????
IDS_TEXTCLIENT_INC_001064	Added Karma Point : %d
IDS_TEXTCLIENT_INC_001065	Added Karma Point : ????
IDS_TEXTCLIENT_INC_001066	You became a criminal.
IDS_TEXTCLIENT_INC_001067	You have been acquitted of your crimes.
IDS_TEXTCLIENT_INC_001068	Transformed into %s
IDS_TEXTCLIENT_INC_001069	Transformed into a human
IDS_TEXTCLIENT_INC_001070	You cannot fly while transforming.
IDS_TEXTCLIENT_INC_001071	Unable to complete quest. Not enough room in your inventory.
IDS_TEXTCLIENT_INC_001072	Going solo
IDS_TEXTCLIENT_INC_001073	Create party
IDS_TEXTCLIENT_INC_001074	Party Leader
IDS_TEXTCLIENT_INC_001075	Non-Party Leader
IDS_TEXTCLIENT_INC_001076	Number of Party Members #b(%d %s %d)#nb
IDS_TEXTCLIENT_INC_001077	Party Leader, Number of Party Members #b(%d %s %d)#nb
IDS_TEXTCLIENT_INC_001078	Non-Party Leader, Number of Party Members #b(%d %s %d)#nb
IDS_TEXTCLIENT_INC_001079	Non-Guild Mode
IDS_TEXTCLIENT_INC_001080	Create Guild
IDS_TEXTCLIENT_INC_001081	Guild Leader
IDS_TEXTCLIENT_INC_001082	Non-Guild Leader
IDS_TEXTCLIENT_INC_001083	Number of Guild Members #b(%d
IDS_TEXTCLIENT_INC_001084	Guild Leader, Number of Guild Members #b(%d %s %d)#nb
IDS_TEXTCLIENT_INC_001085	Non-Guild Leader, Number of Guild Members #b(%d %s %d)#nb
IDS_TEXTCLIENT_INC_001086	Quest completed.
IDS_TEXTCLIENT_INC_001087	Quest cancelled.
IDS_TEXTCLIENT_INC_001088	You cannot use the skill.
IDS_TEXTCLIENT_INC_001089	You must equip either Arrows or the appropriate Poster to use this skill.
IDS_TEXTCLIENT_INC_001090	The quest will not progress without this item. Continue discarding item?
IDS_TEXTCLIENT_INC_001091	The Bounty is currently at (X=%.2f, Y=%.2f, Z=%.2f). An arrow will be pointing at it for an hour.
IDS_TEXTCLIENT_INC_001092	The Bounty is currently %s at (X=%.2f, Y=%.2f, Z=%.2f).
IDS_TEXTCLIENT_INC_001093	It could be that you were never PKed, or the player who PKed you was deleted.
IDS_TEXTCLIENT_INC_001094	Keep your comments concise.
IDS_TEXTCLIENT_INC_001095	The price entered exceeded the range of (%d – %d).
IDS_TEXTCLIENT_INC_001096	– Data was made at %H o clock %M minute(s) %S second(s).
IDS_TEXTCLIENT_INC_001097	The reward disappears when the player status is crossed out. Do you really want to offer a reward?
IDS_TEXTCLIENT_INC_001098	Waiting Time for reuse: %.2d:%.2d
IDS_TEXTCLIENT_INC_001099	You cannot use it during skill motion.
IDS_TEXTCLIENT_INC_001100	You can use it when you stand up.
IDS_TEXTCLIENT_INC_001101	You cannot duel with party members.
IDS_TEXTCLIENT_INC_001102	The other player is in duel rejection mode.
IDS_TEXTCLIENT_INC_001103	You are not the Party leader.
IDS_TEXTCLIENT_INC_001104	The other member is not the Party leader.
IDS_TEXTCLIENT_INC_001105	Flying is forbidden inside.
IDS_TEXTCLIENT_INC_001106	Unable to connect to servers 1 and 2 if your Karma point is negative..
IDS_TEXTCLIENT_INC_001107	%.1d Min
IDS_TEXTCLIENT_INC_001108	%.1d Sec
IDS_TEXTCLIENT_INC_001109	%.1d Hr
IDS_TEXTCLIENT_INC_001110	%.1d Day(s)
IDS_TEXTCLIENT_INC_001111	Character has negative Karma points. Can only connect to PK server.
IDS_TEXTCLIENT_INC_001112	You cannot use a blinkwing at %s.
IDS_TEXTCLIENT_INC_001113	Unable to use while flying.
IDS_TEXTCLIENT_INC_001114	Unable to duel. Level gap is more than 30.
IDS_TEXTCLIENT_INC_001115	You cannot duel in a safety zone.
IDS_TEXTCLIENT_INC_001116	You can duel only if the other player is in the same place as you.
IDS_TEXTCLIENT_INC_001117	You can only duel after your 1st job-change.
IDS_TEXTCLIENT_INC_001118	Unable to change the party leader during a party duel.
IDS_TEXTCLIENT_INC_001119	You cannot duel while flying.
IDS_TEXTCLIENT_INC_001120	You collected %s Penya for the bounty of %s.
IDS_TEXTCLIENT_INC_001121	You cannot do quests while in a party.
IDS_TEXTCLIENT_INC_001122	You cannot use stores if your Karma grade is Vicious.
IDS_TEXTCLIENT_INC_001123	You can change to your 2nd job at level 60.
IDS_TEXTCLIENT_INC_001124	You cannot use this yet.
IDS_TEXTCLIENT_INC_001125	Block
IDS_TEXTCLIENT_INC_001126	Hit
IDS_TEXTCLIENT_INC_001127	Add HP
IDS_TEXTCLIENT_INC_001128	Add Magical Power
IDS_TEXTCLIENT_INC_001129	All Stat
IDS_TEXTCLIENT_INC_001130	Piercing
IDS_TEXTCLIENT_INC_001131	You can pierce 4 sockets into suits.
IDS_TEXTCLIENT_INC_001132	The item cannot be pierced.
IDS_TEXTCLIENT_INC_001133	Increased HP
IDS_TEXTCLIENT_INC_001134	Increased MP
IDS_TEXTCLIENT_INC_001135	Increased DEF
IDS_TEXTCLIENT_INC_001136	Increased Attack
IDS_TEXTCLIENT_INC_001137	Increased FP
IDS_TEXTCLIENT_INC_001138	Critical Chance
IDS_TEXTCLIENT_INC_001139	Attribute Attack
IDS_TEXTCLIENT_INC_001140	Mastery: Earth
IDS_TEXTCLIENT_INC_001141	Mastery: Fire
IDS_TEXTCLIENT_INC_001142	Mastery: Water
IDS_TEXTCLIENT_INC_001143	Mastery: Electricity
IDS_TEXTCLIENT_INC_001144	Mastery: Wind
IDS_TEXTCLIENT_INC_001145	Reflect Damage
IDS_TEXTCLIENT_INC_001146	Decreased MP Consumption
IDS_TEXTCLIENT_INC_001147	Decreased FP Consumption
IDS_TEXTCLIENT_INC_001148	Decreased Casting Time
IDS_TEXTCLIENT_INC_001149	Max. Spell
IDS_TEXTCLIENT_INC_001150	Increased Critical Damage
IDS_TEXTCLIENT_INC_001151	Increased Attack Power (Yo-Yo)
IDS_TEXTCLIENT_INC_001152	Increased Attack Power (Bow)
IDS_TEXTCLIENT_INC_001153	Increased Attack Power (Knuckle)
IDS_TEXTCLIENT_INC_001154	Increased Attack Power (Sword)
IDS_TEXTCLIENT_INC_001155	Increased Attack Power (Axe)
IDS_TEXTCLIENT_INC_001156	Do you want to pierce this item?
IDS_TEXTCLIENT_INC_001157	There is no space to put a card.
IDS_TEXTCLIENT_INC_001158	Player name successfully changed.
IDS_TEXTCLIENT_INC_001159	You successfully changed your Job to %s.
IDS_TEXTCLIENT_INC_001160	Recovered 1 Karma.
IDS_TEXTCLIENT_INC_001161	Only criminals can use this item.
IDS_TEXTCLIENT_INC_001162	Party level increased to 10.
IDS_TEXTCLIENT_INC_001163	This item takes effect once your character dies. Do you want to use it?
IDS_TEXTCLIENT_INC_001164	Takes effect when player dies.
IDS_TEXTCLIENT_INC_001165	This item resets your skills. Do you want to use this item?
IDS_TEXTCLIENT_INC_001166	Your character’s skill points have been reset.  Please redistribute your points in the Skill Tree window.
IDS_TEXTCLIENT_INC_001167	Either you are not a party member or the party level is higher than 10.
IDS_TEXTCLIENT_INC_001168	Please unequip the item first.
IDS_TEXTCLIENT_INC_001169	Your stats will reset after you change your job. Do you want to change your job?
IDS_TEXTCLIENT_INC_001170	You can use this item after your 1st job change.
IDS_TEXTCLIENT_INC_001171	Please select a job.
IDS_TEXTCLIENT_INC_001172	You will be revived where you died.
IDS_TEXTCLIENT_INC_001173	Cheer Message Point(s): %d/3
IDS_TEXTCLIENT_INC_001174	Time left until the next point
IDS_TEXTCLIENT_INC_001175	%s sent you a cheer message of friendship!
IDS_TEXTCLIENT_INC_001176	%s sent you a cheer message of love!
IDS_TEXTCLIENT_INC_001177	Unable to send cheer message. Please try again after %s minutes.
IDS_TEXTCLIENT_INC_001178	Please select a player to cheer. You can only send cheer messages to players other than yourself.
IDS_TEXTCLIENT_INC_001179	You cannot pass party leadership to an offline player.
IDS_TEXTCLIENT_INC_001180	Piercing Succeeded.
IDS_TEXTCLIENT_INC_001181	Piercing failed.
IDS_TEXTCLIENT_INC_001182	The item cannot be equipped or moved during refining.
IDS_TEXTCLIENT_INC_001183	Your cheer points have increased by 1.
IDS_TEXTCLIENT_INC_001184	Guild name was successfully changed.
IDS_TEXTCLIENT_INC_001185	Effective when the item is destroyed after piercing.
IDS_TEXTCLIENT_INC_001186	Effective after refining
IDS_TEXTCLIENT_INC_001187	Effective after piercing
IDS_TEXTCLIENT_INC_001188	The item loses its potency 4 hours after being equipped if not returned to the inventory . Do you want to use the item?
IDS_TEXTCLIENT_INC_001189	Return to your former position.
IDS_TEXTCLIENT_INC_001190	You cannot use these items at the same time.
IDS_TEXTCLIENT_INC_001191	You can use it when you have joined a party or if you are a party leader.
IDS_TEXTCLIENT_INC_001192	You used the same item earlier. Try again after its effects have worn off.
IDS_TEXTCLIENT_INC_001193	This item is consumed regardless of its success or failure. Do you continue?
IDS_TEXTCLIENT_INC_001194	Unable to use item in the limit zone.
IDS_TEXTCLIENT_INC_001195	This item has no effect when refining items higher than +7. Do you still use it?
IDS_TEXTCLIENT_INC_001196	This item can only be used when piercing.
IDS_TEXTCLIENT_INC_001197	(Duration)
IDS_TEXTCLIENT_INC_001198	within %1.d minutes
IDS_TEXTCLIENT_INC_001199	You can use the %s for %d days.
IDS_TEXTCLIENT_INC_001200	Time remaining on %s: %d hours.
IDS_TEXTCLIENT_INC_001201	You may no longer use %s . That item has expired.
IDS_TEXTCLIENT_INC_001202	Set
IDS_TEXTCLIENT_INC_001203	#cff0000ff I am your father!#nc
IDS_TEXTCLIENT_INC_001204	#cff0000ff I am your mother!#nc
IDS_TEXTCLIENT_INC_001205	Party duel mode of %s was finished. If you join duel again, you will be penalized according to PK rules.
IDS_TEXTCLIENT_INC_001206	Will you register for the Guild Siege?
IDS_TEXTCLIENT_INC_001207	Do you want to withdraw from the Guild Siege?
IDS_TEXTCLIENT_INC_001208	Do you join the Guild Siege?
IDS_TEXTCLIENT_INC_001209	The guild is not in the list.
IDS_TEXTCLIENT_INC_001210	%d Round
IDS_TEXTCLIENT_INC_001211	You did not register for the Guild Siege.
IDS_TEXTCLIENT_INC_001212	You are already registered in the Guild Siege.
IDS_TEXTCLIENT_INC_001213	You either do not have a guild or you are not the guild master.
IDS_TEXTCLIENT_INC_001214	Welcome to the Guild Siege.
IDS_TEXTCLIENT_INC_001215	The Guild Siege will begin soon. You will be automatically teleported to Flaris after %d seconds.
IDS_TEXTCLIENT_INC_001216	The Guild Siege has ended.
IDS_TEXTCLIENT_INC_001217	The winning guild for this week: %s guild.
IDS_TEXTCLIENT_INC_001218	MVP is %s.
IDS_TEXTCLIENT_INC_001219	Congratulations!
IDS_TEXTCLIENT_INC_001220	The Guild Siege will begin after %d seconds.
IDS_TEXTCLIENT_INC_001221	From now on, Franky in Flarine can let you into the Guild Siege arena,
IDS_TEXTCLIENT_INC_001222	You are guild master! Don't forget that if you defeat the enemy, you will get a bonus.
IDS_TEXTCLIENT_INC_001223	You are defender! If you are defeated by the enemy, they will get a bonus.
IDS_TEXTCLIENT_INC_001224	Defeat your opponent for glory of your guild! Defeating the defender, you will get a bonus.
IDS_TEXTCLIENT_INC_001225	Your guild has registered to attend the guild siege.
IDS_TEXTCLIENT_INC_001226	The guild master has gained %s!!
IDS_TEXTCLIENT_INC_001227	Your guild has gained %s!!
IDS_TEXTCLIENT_INC_001228	Your defender is dead!! %s guild has gained points!!
IDS_TEXTCLIENT_INC_001229	You gained remained resurrection %s points!!
IDS_TEXTCLIENT_INC_001230	Guild Siege is closed.
IDS_TEXTCLIENT_INC_001231	The guild siege is held for this week.
IDS_TEXTCLIENT_INC_001232	Please enter from Franky in Flarine.
IDS_TEXTCLIENT_INC_001233	You qualified to enter the guild siege. Please finish "line up for the guild siege" with Franky in Flaris now.
IDS_TEXTCLIENT_INC_001234	You have failed to qualify. Please challenge again next week. After finishing the guild siege, receive an admission fee from Donalis in Flaris.
IDS_TEXTCLIENT_INC_001235	Entrance has started. Would you like to teleport to the Guild Siege arena?
IDS_TEXTCLIENT_INC_001236	A vagrant should not be the leader in a Guild Siege.
IDS_TEXTCLIENT_INC_001237	Your guild level must be at least %d in order to apply for the siege.
IDS_TEXTCLIENT_INC_001238	It will cost you at least %d penya to apply to the siege
IDS_TEXTCLIENT_INC_001239	It will cost you  %d penya to apply to the siege.
IDS_TEXTCLIENT_INC_001240	You can apply to the guild siege if you have the required Penya.
IDS_TEXTCLIENT_INC_001241	You cannot use Blinkwings to escape the Guild Siege arena.
IDS_TEXTCLIENT_INC_001242	Registration for guild siege has finished.
IDS_TEXTCLIENT_INC_001243	The guild siege you joined was cancelled.
IDS_TEXTCLIENT_INC_001244	Maintenance Schedule
IDS_TEXTCLIENT_INC_001245	Combat starts right after server maintenance. Prepare for war!
IDS_TEXTCLIENT_INC_001246	Start Combat
IDS_TEXTCLIENT_INC_001247	End combat
IDS_TEXTCLIENT_INC_001248	Teleporting to Flaris
IDS_TEXTCLIENT_INC_001249	Unable to join during guild siege.
IDS_TEXTCLIENT_INC_001250	You cannot use it right now.
IDS_TEXTCLIENT_INC_001251	Time Limit
IDS_TEXTCLIENT_INC_001252	Please join after a while.
IDS_TEXTCLIENT_INC_001253	Congratulations, you get the guild map!
IDS_TEXTCLIENT_INC_001254	Preparations underway.
IDS_TEXTCLIENT_INC_001255	Guild Siege mode is now available.
IDS_TEXTCLIENT_INC_001256	You can zoom in the camera by pressing the [Scroll Lock] key.
IDS_TEXTCLIENT_INC_001257	Set Effect
IDS_TEXTCLIENT_INC_001258	Wrong Password. Cannot log into account for 15 seconds.
IDS_TEXTCLIENT_INC_001259	Wrong Passwords 3 times. Cannot log into account for 15 minutes.
IDS_TEXTCLIENT_INC_001260	Server Verification Error
IDS_TEXTCLIENT_INC_001261	Now gaining Exp. At an increased rate.
IDS_TEXTCLIENT_INC_001262	Rate Increased
IDS_TEXTCLIENT_INC_001263	You cannot stack this scroll anymore. At level %s, this scroll can only be stacked %s times.
IDS_TEXTCLIENT_INC_001264	You cannot use this scroll. This scroll is only available for level %s.
IDS_TEXTCLIENT_INC_001265	You can use multiple copies of this scroll at your current level.
IDS_TEXTCLIENT_INC_001266	The time left
IDS_TEXTCLIENT_INC_001267	First:
IDS_TEXTCLIENT_INC_001268	Second:
IDS_TEXTCLIENT_INC_001269	Third:
IDS_TEXTCLIENT_INC_001270	Mastery: All Elements
IDS_TEXTCLIENT_INC_001271	Promote to Guild Master
IDS_TEXTCLIENT_INC_001272	HP, MP, FP Recovery Power
IDS_TEXTCLIENT_INC_001273	HP, MP, FP Recovery Rate
IDS_TEXTCLIENT_INC_001274	HP Recovery Power once you kill NPC
IDS_TEXTCLIENT_INC_001275	MP Recovery Power once you kill NPC
IDS_TEXTCLIENT_INC_001276	FP Recovery Power once you kill NPC
IDS_TEXTCLIENT_INC_001277	HP, MP, FP Recovery Power once you kill NPC
IDS_TEXTCLIENT_INC_001278	HP Recovery Rate once you kill NPC
IDS_TEXTCLIENT_INC_001279	MP Recovery Rate once you kill NPC
IDS_TEXTCLIENT_INC_001280	FP Recovery Rate once you kill NPC
IDS_TEXTCLIENT_INC_001281	HP, MP, FP Recovery Rate once you kill NPC
IDS_TEXTCLIENT_INC_001282	Decrease Rate of MP, FP Consumption
IDS_TEXTCLIENT_INC_001283	Suit Socket Card
IDS_TEXTCLIENT_INC_001284	Weapon/Shield Socket Card
IDS_TEXTCLIENT_INC_001285	
IDS_TEXTCLIENT_INC_001286	Are you sure you want to send?\nMail expires after %d days
IDS_TEXTCLIENT_INC_001287	Your mail has been sent successfully.
IDS_TEXTCLIENT_INC_001288	You have received new mail!
IDS_TEXTCLIENT_INC_001289	Delete this mail?  Items and penya will be deleted as well.
IDS_TEXTCLIENT_INC_001290	Unknown user
IDS_TEXTCLIENT_INC_001291	Not available
IDS_TEXTCLIENT_INC_001292	The remained points : %d
IDS_TEXTCLIENT_INC_001293	Date Received: %s
IDS_TEXTCLIENT_INC_001294	You can not use the premium items.
IDS_TEXTCLIENT_INC_001295	%s asked to summon you %s.\n Would you like to accept?
IDS_TEXTCLIENT_INC_001296	You don't have %s. You cannot summon %s.
IDS_TEXTCLIENT_INC_001297	%s is not online.
IDS_TEXTCLIENT_INC_001298	You have asked to summon %s
IDS_TEXTCLIENT_INC_001299	You can summon party members.\nThey should be in the same area(%s),\nThe area can't be event arean(Clockwork).\nIf party leader move to other area(dungeon)\nmember can't be summoned.\nIt will be activated for a minute.\nWould you like to request the summons?
IDS_TEXTCLIENT_INC_001300	You can not summon without %s.
IDS_TEXTCLIENT_INC_001301	%s Party has asked to summon you. \nYou will be summoned to the Party Leader.\n You have one minute to decide.
IDS_TEXTCLIENT_INC_001302	If you click the icon(%s) on the upper of the right \nyou will be teleported to the leader.
IDS_TEXTCLIENT_INC_001303	You should be close for the summon to work,(%s)\n Make sure you are not in an Event arena. \n Do you want to be teleported?
IDS_TEXTCLIENT_INC_001304	You can go to the Party leader once you click double.
IDS_TEXTCLIENT_INC_001305	You can not go.
IDS_TEXTCLIENT_INC_001306	%s is summoned
IDS_TEXTCLIENT_INC_001307	You are summoned to %s
IDS_TEXTCLIENT_INC_001308	You have engraved the name '%s' on this ring. Give it to your sweetheart!
IDS_TEXTCLIENT_INC_001309	An engraving reads '%s'. Give it to your sweetheart!
IDS_TEXTCLIENT_INC_001310	This item has expired.
IDS_TEXTCLIENT_INC_001311	%s has been engraved in the ring.
IDS_TEXTCLIENT_INC_001312	You can not go to %s from here.
IDS_TEXTCLIENT_INC_001313	You can not go to who is flying.
IDS_TEXTCLIENT_INC_001314	Trading
IDS_TEXTCLIENT_INC_001315	Because the person is trading.
IDS_TEXTCLIENT_INC_001316	If the person is dead
IDS_TEXTCLIENT_INC_001317	Because the person is dead
IDS_TEXTCLIENT_INC_001318	On opening a private shop
IDS_TEXTCLIENT_INC_001319	Because the person is on opening a private shop
IDS_TEXTCLIENT_INC_001320	In Combat
IDS_TEXTCLIENT_INC_001321	Because the person is in combat.
IDS_TEXTCLIENT_INC_001322	On flying
IDS_TEXTCLIENT_INC_001323	Because the person is flying.
IDS_TEXTCLIENT_INC_001324	In event area
IDS_TEXTCLIENT_INC_001325	Because the person is in an event area
IDS_TEXTCLIENT_INC_001326	Because %s and %s are in different area
IDS_TEXTCLIENT_INC_001327	Because the leader went to another area
IDS_TEXTCLIENT_INC_001328	You cannot use %s
IDS_TEXTCLIENT_INC_001329	You cannot summon %s
IDS_TEXTCLIENT_INC_001330	You cannot accept %s
IDS_TEXTCLIENT_INC_001331	%s has cancelled the summon.
IDS_TEXTCLIENT_INC_001332	You can not use item to yourself.
IDS_TEXTCLIENT_INC_001333	This item is not available. Please input another item.
IDS_TEXTCLIENT_INC_001334	Only 1-60 level items are usable.
IDS_TEXTCLIENT_INC_001335	Only 61-120 level items are usable.
IDS_TEXTCLIENT_INC_001336	The change from %s to %s was successful.
IDS_TEXTCLIENT_INC_001337	Please input an item which you want to change.
IDS_TEXTCLIENT_INC_001338	Please input an item on the left column.
IDS_TEXTCLIENT_INC_001339	This item is for gaining Party Exp. at twice the normal rate.\nYou have to be the Party Leader to use it\nDo you want to use it?
IDS_TEXTCLIENT_INC_001340	Summoning should be used on players that are 15 meters or closer to you.
IDS_TEXTCLIENT_INC_001341	You can not summon there.
IDS_TEXTCLIENT_INC_001342	You have summoned %s.
IDS_TEXTCLIENT_INC_001343	%s has become the guild master.
IDS_TEXTCLIENT_INC_001344	You cannot send this item.
IDS_TEXTCLIENT_INC_001345	You have failed to send.
IDS_TEXTCLIENT_INC_001346	This channel is not available. Please enter another.
IDS_TEXTCLIENT_INC_001347	You can not send that much Penya.
IDS_TEXTCLIENT_INC_001348	Use skills in the Action Slot (Hotkey: C)
IDS_TEXTCLIENT_INC_001349	Strengthens Attack Power of Weapon
IDS_TEXTCLIENT_INC_001350	Except for wand
IDS_TEXTCLIENT_INC_001351	Strengthens Defense, Max. HP, Max. FP
IDS_TEXTCLIENT_INC_001352	HP, FP recovery rate increased
IDS_TEXTCLIENT_INC_001353	Attack speed increased
IDS_TEXTCLIENT_INC_001354	Evasion Rate, Blocking Rate increased
IDS_TEXTCLIENT_INC_001355	Increases Critical Hit Chance.
IDS_TEXTCLIENT_INC_001356	Striking power of bow is increased.
IDS_TEXTCLIENT_INC_001357	Amount of Max. MP is increased.
IDS_TEXTCLIENT_INC_001358	Magic Attack Power
IDS_TEXTCLIENT_INC_001359	Points for STR, STA, DEX and INT
IDS_TEXTCLIENT_INC_001360	Weapon
IDS_TEXTCLIENT_INC_001361	Shield
IDS_TEXTCLIENT_INC_001362	Bow
IDS_TEXTCLIENT_INC_001363	Helmet
IDS_TEXTCLIENT_INC_001364	Suit
IDS_TEXTCLIENT_INC_001365	Gauntlet
IDS_TEXTCLIENT_INC_001366	Boots
IDS_TEXTCLIENT_INC_001367	Cloak
IDS_TEXTCLIENT_INC_001368	Mask
IDS_TEXTCLIENT_INC_001369	Ring
IDS_TEXTCLIENT_INC_001370	Ear ring
IDS_TEXTCLIENT_INC_001371	Necklace
IDS_TEXTCLIENT_INC_001372	Flying board
IDS_TEXTCLIENT_INC_001373	Fashion hat
IDS_TEXTCLIENT_INC_001374	Fashion costume
IDS_TEXTCLIENT_INC_001375	Fashion gloves
IDS_TEXTCLIENT_INC_001376	Fashion shoes
IDS_TEXTCLIENT_INC_001377	Sub Weapon(Bow, Poster)
IDS_TEXTCLIENT_INC_001378	You have dropped %s Penya.
IDS_TEXTCLIENT_INC_001379	Entry
IDS_TEXTCLIENT_INC_001380	Receipt of prize money and application money
IDS_TEXTCLIENT_INC_001381	Detach Piercing Card.
IDS_TEXTCLIENT_INC_001382	You can not set %s into %s
IDS_TEXTCLIENT_INC_001383	Input the above item.
IDS_TEXTCLIENT_INC_001384	Select the lower card.
IDS_TEXTCLIENT_INC_001385	Input the item with a card.
IDS_TEXTCLIENT_INC_001386	Would you like to delete card that is piercing the suit?
